Layer,Entity Type,Linear (m),Area (m²),Count,Material Tag,Material Key,Partition Ref,Start X,Start Y,End X,End Y,Radius
A-WALL,LINE,0.51,0.0,1,,,,151902.749398824,473930.180606396,151392.7493999373,473930.1806063959,
A-WALL,LINE,6.16,0.0,1,,,,151267.7493999373,473930.180606396,145107.2492614015,473930.180606396,
A-WALL,LINE,0.35,0.0,1,,,,145107.2492614015,473930.180606396,145107.2492614015,473580.1806063959,
I-WALL,LINE,0.62,0.0,1,,,,153507.2495355899,468921.5421987944,154127.24953559,468921.5421987944,
I-WALL,LINE,0.1,0.0,1,,,,155307.2495355899,468921.5421987944,155307.2495355899,469024.5421987945,
I-WALL,LINE,0.1,0.0,1,,,,153507.2495355899,469024.5421987945,153507.2495355899,468921.5421987944,
A-WALL,LINE,7.25,0.0,1,,,,153502.2493987218,473580.1791812822,160757.2493986881,473580.1791812822,
A-WALL,LINE,0.35,0.0,1,,,,160757.2493986881,473580.180606396,160757.2493986881,473930.1791812822,
A-WALL,LINE,7.25,0.0,1,,,,160757.2493986881,473930.1791812822,153502.2493987218,473930.1791812822,
A-WALL,LINE,0.35,0.0,1,,,,153502.2493987218,473930.1791812822,153502.2493987218,473580.1791812822,
A-DETL,LINE,1.76,0.0,1,,,,154693.7493978647,475543.5301665119,153950.749400468,473949.4893113046,
A-DETL,LINE,1.76,0.0,1,,,,153950.749400468,475544.6028723404,154693.7493978647,473950.562017133,
A-DETL,LINE,2.09,0.0,1,,,,151629.4964423238,476100.3836741567,151392.7493999373,474020.4367323433,
A-DETL,LINE,2.09,0.0,1,,,,151392.7493999373,476026.4889291711,151631.7493999374,473945.1770884736,
I-WALL,LINE,1.62,0.0,1,,,,149796.7495303059,462717.1876344714,149796.7495303059,461094.6876344713,
I-WALL,LINE,1.52,0.0,1,,,,149899.7495303059,461197.6876344713,149899.7495303059,462717.1876344714,
I-WALL,LINE,0.05,0.0,1,,,,149844.2495357151,462717.1876344714,149796.7495303059,462717.1876344714,
I-WALL,LINE,0.1,0.0,1,,,,149899.7495303059,461094.6876344713,149998.5624984782,461094.6876344713,
I-WALL,LINE,0.1,0.0,1,,,,149998.5624984782,461197.6876344713,149899.7495303059,461197.6876344713,
I-WALL,LINE,0.09,0.0,1,,,,151008.5624984782,461094.6876344713,151100.7495278843,461094.6876344713,
I-WALL,LINE,0.81,0.0,1,,,,151203.7495278843,461094.6876344713,152016.2495357151,461094.6876344713,
I-WALL,LINE,1.01,0.0,1,,,,152016.2495357151,461197.6876344713,151008.5624984782,461197.6876344713,
I-WALL,LINE,0.32,0.0,1,,,,151204.2495357151,462717.1876344714,151204.2495357151,462401.1876351882,
I-WALL,LINE,0.24,0.0,1,,,,151284.2495357151,462481.1876351882,151284.2495357151,462717.1876344714,
I-WALL,LINE,0.81,0.0,1,,,,151204.2495357151,462401.1876351882,152016.2495357151,462401.1876351882,
I-WALL,LINE,0.06,0.0,1,,,,152016.2495357151,462420.6876560047,152016.2495357151,462481.1876351882,
I-WALL,LINE,0.73,0.0,1,,,,152016.2495357151,462481.1876351882,151284.2495357151,462481.1876351882,
I-WALL,LINE,0.07,0.0,1,,,,149796.7495303059,461094.6876344713,149796.7495303059,461022.6438108366,
I-WALL,LINE,0.07,0.0,1,,,,149899.7495303059,461022.6438108366,149899.7495303059,461094.6876344713,
I-WALL,LINE,0.16,0.0,1,,,,149796.7495303059,460112.6438108365,149796.7495303059,459954.3729282676,
I-WALL,LINE,0.26,0.0,1,,,,149899.7495303059,459851.3729282676,149899.7495303059,460112.6438108365,
I-WALL,LINE,4.6,0.0,1,,,,149796.7495303059,459954.3729282676,145192.2493985584,459954.3729282676,
I-WALL,LINE,4.71,0.0,1,,,,145192.2493985584,459851.3729282676,149899.7495303059,459851.3729282676,
I-WALL,LINE,0.81,0.0,1,,,,152016.2495357151,459397.3011465492,151203.7495278843,459397.3011465492,
I-WALL,LINE,0.92,0.0,1,,,,151100.7495278843,459294.3011465491,152016.2495357151,459294.3011465491,
